entry,hashed_audio_file,pos,gloss_chinese,gloss_pinyin,category,note,cross_ref,root
mai21 zɔi44,8717974bcbf06947.wav,名詞,小葉榕,xiao3 ye4 rong2,Flora,,mai21 van,
mai21 zɔp33,d2dbd1a3483dad89.wav,名詞,蜈蚣,wu2 gong1,Fauna,,,
mai21 ɓiŋ213,b24cab64f26915c2.wav,名詞,水蛭,shui3 zhi4,Fauna,,,
mai21 ɗak21,054f54042124d596.wav,名詞,螞蝗,ma3 huang2,Fauna,,,
mai24,baaededed919e613.wav,名詞,甘蔗,gan1 zhe4,Flora,,,
mak33,dcc8268860fa36b0.wav,名詞,果子、果實,guo3 zi、guo3 shi2,Flora,,,
mak33,,形容詞,聾,long2,Adjectives & Verbs,,,
mak33 ɓiaŋ213,cc35d33e5e9c7407.wav,名詞,楊桃,yang2 tao2,Flora,,,
mak33 kop33,29ced2fe085c9f6c.wav,名詞,南瓜,nan2 gua1,Flora,,,
mak33 mɛk33,,名詞,麥,mai4,Flora,,,
mak33 miat33,0bc0adb37c67bc97.wav,名詞,波羅蜜,buo1 luo2 mi4,Flora,[miat]或[miet],,
mak33 mɔn44,bad63c1777189d71.wav,名詞,香蕉,xiang1 jiao1,Flora,,,
mak33 ŋok33,50d2754a9eaeab9c.wav,名詞,柚子,yo4 zi,Flora,,,
mak33 vɔŋ44,55713c46ff8caafd.wav,名詞,芝麻,zi1 ma2,Flora,,,
mak33 zia44,,名詞,椰子,ye2 zi,Flora,,,
man55,58aeca6ec1339b54.wav,數詞,萬,wan4,Miscellaneous,,,
mat33,,名詞,土,tu3,Nature,,,
maŋ213,89f1fe6489fa7d21.wav,名詞,水溝、河、溪,shui3 gou1; he2; xi1,Nature,,,
maʔ33,0df90e1e78ba0265.wav,名詞,馬,ma3,Fauna,,,
miu213,90e83b549953ed0e.wav,名詞,貓,mao1,Fauna,,,
miŋ33 ki33 zou44,,名詞,蜘蛛,zhi1 zhu1,Fauna,,,
miŋ44,fab0b0633fec0533.wav,名詞,蟲,chong2,Fauna,,,
miŋ44 ɗip55 lɔi21,1362396e6b89903a.wav,名詞,螢火蟲,ying2 huo3 chong2,Fauna,和眨or閉不同音,,
miŋ44 hit55,8aecc1c3fdd2e428.wav,名詞,蚱蜢、蝗蟲,zha4 meng3; huang2 chong2,Fauna,,,
miŋ44 khi24 lap21,8bb77ecccc6c962a.wav,名詞,蟑螂,zhang1 lang2,Fauna,,,
miŋ44 la33 liʔ55,,名詞,毛毛蟲,mao2 mao2 chong2,Fauna,,,
miŋ44 vaŋ21,94a34a14d6a317c8.wav,名詞,蒼蠅,chang1 ying2,Fauna,,,
miŋ44 vaŋ21 tɛi24,,名詞,牛虻,niu2 mang2,Fauna,,,
miŋ44 via21,95a7460d7567210f.wav,名詞,蝴蝶,hu2 die2,Fauna,,,
mu213,d00f8f4019ca5c80.wav,名詞,豬,zhu1,Fauna,,,
mu213 saŋ(2)13,,,野豬,ye3 zhu1,,,,mu213
mu213,0f7d3f3ccb586860.wav,動詞,坐,zuo4,Adjectives & Verbs,,,
mu213 zoŋ44,,,坐下,zuo4 xia4,,,,mu213
muŋ21,f44a0a86ae66922d.wav,名詞,稻草,dao4 cao3,Flora,,,
mɔ44,a3059630283e44dc.wav,名詞,手,shou3,Body Parts,,,
mɔ44,278c8b50a9134f5e.wav,代名詞,你2sg,ni3,Miscellaneous,,,
mɔk33,a3d441ee1010fa40.wav,名詞,稻穀、榖粒,dao4 gu3; gu3 li4,Flora,,,
mɔŋ21,06079a1f1e4e527f.wav,動詞,看（電視）,kan4,Adjectives & Verbs,,,
mɛ213,b2a3702d2c443fe8.wav,動詞,爬（樹）,pa2,Adjectives & Verbs,,,
mɛ213 ɗɔn24,fb1b98b5c48d5fce.wav,,爬樹,pa2 shu4,,,,mɛ213
mɛ213 saŋ213,6a06abdbd6862227.wav,,爬山,,,,,mɛ213
mɛ213,0a53984ecb5670bc.wav,動詞,爬（在地上爬）to crawl,pa2 (zhai4 di4 shang4 pa2),Adjectives & Verbs,,,
mai21 zi44,58410db2abad3231.wav,名詞,老鼠,lao3 shu3,Fauna,,,
mak33 hat55,,名詞,星星,xing1 xing1,Nature,,,
mak33 kup55,9060d69098ef6b44.wav,名詞,冬瓜,tong1 gua1,Flora,,,
mak33 lɔk55,709cd5a546c593a8.wav,名詞,花生,hua1 sheng1,Flora,,,
mak33 mɔi213,fa7feeffad2aaa68.wav,名詞,梭子,suo1 zi0,Material Culture,捲線器,,
mak33 phun21,541b94f14d82bb87.wav,名詞,龍眼,long2 yan3,Flora,,,
mak33 zan21,50939bf420c584a8.wav,名詞,茄子,qie2 zi,Flora,,,
mak33 zia24 kuaŋ24,,名詞,鳳梨,feng4 li2,Flora,,,
min44 phai24,008126f1012f684e.wav,名詞,棉花,mian2 hua1,Flora,也作 min44 phai24,,
